"Discount name","Discount method","Discount type","Discount class","Applied discounts","Discounted orders","Gross sales","Returns","Net sales","Shipping charges","Taxes","Total sales"
"4R2Q49","discount_code","percentage","order",-1122.75,1,22455,0,21332.25,0,0,21332.25
"D286CB","discount_code","percentage","order",-162.25,2,3245,0,3082.75,0,0,3082.75
"C2FZX8","discount_code","percentage","order",-137.35,3,2747,0,2609.65,0,0,2609.65
"943JX3","discount_code","percentage","order",-97.4,2,1948,0,1850.6,0,0,1850.6
"DK8N3M","discount_code","percentage","order",-67.4,1,1348,0,1280.6,0,0,1280.6
"8MB9R5","discount_code","percentage","order",-59.95,1,1199,0,1139.05,0,0,1139.05
"S4535B","discount_code","percentage","order",-59.95,1,1199,0,1139.05,0,0,1139.05
"83626B","discount_code","percentage","order",-59.95,1,1199,0,1139.05,0,0,1139.05
"9873V9","discount_code","percentage","order",-52.35,1,1047,0,994.65,0,0,994.65
"5863VV","discount_code","percentage","order",-49.9,1,998,0,948.1,0,0,948.1
"37692G","discount_code","percentage","order",-44.9,1,898,0,853.1,0,0,853.1
"8KMV72","discount_code","percentage","order",-37.4,1,748,0,710.6,0,0,710.6
"9ZP35G","discount_code","percentage","order",-24.95,1,499,0,474.05,0,0,474.05
"7W3KMR","discount_code","percentage","order",-24.95,1,499,0,474.05,0,0,474.05
"2P4MHP","discount_code","percentage","order",-19.9,2,398,0,378.1,0,0,378.1
"4S7H9V","discount_code","percentage","order",-9.95,1,199,0,189.05,0,0,189.05
"ZZ77J8","discount_code","percentage","order",-9.95,1,199,0,189.05,0,0,189.05
"KAYOS10","discount_code","percentage","order",-19.9,1,199,0,179.1,0,0,179.1
